Term,High Survival,Low Survival
ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,0.13162007357524053,-0.15342775216322058
Interconversion Of Nucleotide Di- And Triphosphates R-HSA-499943,-0.1729556042197391,0.07879117266402204
Elastic Fibre Formation R-HSA-1566948,-0.15965768561537652,0.11083504947999136
NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569,0.10566093554876546,-0.08723178252938352
Inositol phosphate metabolism,0.11498945716066568,-0.07207124910330769
"Growth hormone synthesis, secretion and action",0.10810728864100859,-0.0580169322859953
Integrin Cell Surface Interactions R-HSA-216083,-0.15291673761381486,0.10244762382348604
Rab Regulation Of Trafficking R-HSA-9007101,0.0699459076680473,-0.06182001324093754
PI-3K cascade:FGFR4 R-HSA-5654720,0.16340542297730648,-0.06278144859771981
Metabolism Of Angiotensinogen To Angiotensins R-HSA-2022377,-0.1220108762331766,0.14735111913855112
TBC/RABGAPs R-HSA-8854214,0.09198946770811955,-0.07588515494516505
Longevity regulating pathway,0.06541038333115418,-0.058635293391751483
PI-3K cascade:FGFR3 R-HSA-5654710,0.15579938398274631,-0.07451454305394235
Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273,-0.20501562791286718,0.09399696310382384
PI-3K cascade:FGFR2 R-HSA-5654695,0.1642043314584241,-0.05366159660064542
Phosphatidylinositol signaling system,0.12084957488590475,-0.08106456257160188
Synthesis Of Glycosylphosphatidylinositol (GPI) R-HSA-162710,-0.19550186385554,0.06730041301121104
Regulation Of Pyruvate Dehydrogenase (PDH) Complex R-HSA-204174,0.16656420526354257,-0.09858927942722782
Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860,-0.2248628860678881,0.11001538899602087
TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114,-0.19077531750063148,0.10507232841908679
Regulation of lipolysis in adipocytes,0.11643102960885102,-0.06262499023121211
Amino sugar and nucleotide sugar metabolism,-0.1539001561542886,0.081801650739241
Diseases Of Metabolism R-HSA-5668914,-0.09196547014135069,0.053725185147269226
ErbB signaling pathway,0.08919877198024341,-0.06672980639385903
Insulin Receptor Signaling Cascade R-HSA-74751,0.10784551036307752,-0.04233502152795223
HS-GAG Degradation R-HSA-2024096,-0.15661808573609556,0.09221506431712916
Regulated Necrosis R-HSA-5218859,-0.16952057675547497,0.09620847633949166
p53 signaling pathway,-0.13318760074313948,0.05694518709183304
COPI-independent Golgi-to-ER Retrograde Traffic R-HSA-6811436,0.14555326109884653,-0.07847942314470274
RET Signaling R-HSA-8853659,0.08336681739237758,-0.06703062657619718
Spinocerebellar ataxia,0.08593822647036915,-0.057002791751440685
Response Of EIF2AK1 (HRI) To Heme Deficiency R-HSA-9648895,-0.21064045367801973,0.0986495225203196
HDMs Demethylate Histones R-HSA-3214842,0.14952991470777596,-0.15373578095701068
Diseases Of Glycosylation R-HSA-3781865,-0.10379403811102354,0.06116398596161736
Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201,0.08257458057469731,-0.08767685147857449
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,-0.16808099962496162,0.055916856835617354
GnRH secretion,0.13035892395139753,-0.07999573390110397
Signaling pathways regulating pluripotency of stem cells,0.07269905803408613,-0.0530237125587188
Pyroptosis R-HSA-5620971,-0.18229362114300351,0.11225780941903246
Tight Junction Interactions R-HSA-420029,-0.10502283161865215,0.06320552568873695
Signaling By BMP R-HSA-201451,0.1309317708679404,-0.07431455780804666
Regulation Of Necroptotic Cell Death R-HSA-5675482,-0.15971575960574286,0.08221450587254717
Sphingolipid signaling pathway,0.07870538931693248,-0.04419581572985218
Dopaminergic synapse,0.10437629270107852,-0.0702174112716099
Protein digestion and absorption,-0.06987144069178615,0.07118313197741206
Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758,0.0825865297540036,-0.11296861941277614
RND2 GTPase Cycle R-HSA-9696270,0.07151631789455444,-0.0879182312281227
FRS-mediated FGFR3 Signaling R-HSA-5654706,0.1369746562281871,-0.0699299198743037
Integration Of Energy Metabolism R-HSA-163685,0.10255865669314795,-0.07412884060075785
Signaling By FGFR4 R-HSA-5654743,0.09022084210364052,-0.03960800652633888
Activation Of Matrix Metalloproteinases R-HSA-1592389,-0.07911686167769799,0.1117672646444039
FRS-mediated FGFR4 Signaling R-HSA-5654712,0.1471040482427634,-0.05892364187154437
FRS-mediated FGFR2 Signaling R-HSA-5654700,0.14907681537077638,-0.05086275669830441
Synthesis Of Bile Acids And Bile Salts Via 27-Hydroxycholesterol R-HSA-193807,0.15258925139658885,-0.08253529646574989
Inositol Phosphate Metabolism R-HSA-1483249,0.10837726458482533,-0.06717007893929629
Downstream Signaling Of Activated FGFR2 R-HSA-5654696,0.11526330246913495,-0.044227202329271936
Cortisol synthesis and secretion,0.10528307616478144,-0.07197612544920846
Regulation Of Gene Expression In Late Stage (Branching Morphogenesis) Pancreatic Bud Precursor Cells R-HSA-210744,0.15334984767458767,-0.11052218467834139
RIPK1-mediated Regulated Necrosis R-HSA-5213460,-0.15398839443285,0.07980898414787646
Intrinsic Pathway Of Fibrin Clot Formation R-HSA-140837,-0.08343081825739018,0.08098174901113056
Olfactory Signaling Pathway R-HSA-381753,0.18471708838678846,0.04716711033688314
Synthesis Of PIPs At Golgi Membrane R-HSA-1660514,0.12488006659412013,-0.08820728397871172
"Gamma Carboxylation, Hypusine Formation And Arylsulfatase Activation R-HSA-163841",-0.10634279995954433,0.06774879841808319
Chemical carcinogenesis,0.07953237849683355,-0.012929717100415532
PI Metabolism R-HSA-1483255,0.10296918355550395,-0.07247799093230405
Activation Of Gene Expression By SREBF (SREBP) R-HSA-2426168,0.10582716216603887,-0.12315859230046101
Cell Junction Organization R-HSA-446728,-0.0757128422498675,0.05255512508652559
TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway R-HSA-5676594,-0.1556275803934851,0.12934022463620964
Basigin Interactions R-HSA-210991,-0.10966081950799428,0.07244038629479257
PKA-mediated Phosphorylation Of CREB R-HSA-111931,0.16744747821556763,-0.09069219499298516
Circadian entrainment,0.11592159802599745,-0.08106859931628786
Butanoate metabolism,0.1399803895154489,-0.07212554035308634
Downstream Signaling Of Activated FGFR3 R-HSA-5654708,0.09755703586082642,-0.05776532568692661
Downstream Signaling Of Activated FGFR4 R-HSA-5654716,0.1057842242628986,-0.048041871284081585
Type II diabetes mellitus,0.10784795010731746,-0.0595843854716981
Nicotinate Metabolism R-HSA-196807,-0.1133526662909065,0.07621133639081816
Glutamatergic synapse,0.12495549448015104,-0.08609417155291806
Negative Regulation Of FGFR4 Signaling R-HSA-5654733,0.1169964868149611,-0.03758432443721174
Pyrimidine metabolism,-0.12166375672410124,0.03731526157828539
Glucagon signaling pathway,0.08011557692820516,-0.04026862424242932
Galactose metabolism,-0.1159761388246721,0.08198670306841639
MTOR Signaling R-HSA-165159,0.06777541721080443,-0.07839196429788255
Signaling By NOTCH1 R-HSA-1980143,0.060443643175114976,-0.06542949234266328
Nicotinamide Salvaging R-HSA-197264,-0.11681893274278977,0.08528872531875917
Various types of N-glycan biosynthesis,-0.15309091222922758,0.08570324698491089
Expression And Translocation Of Olfactory Receptors R-HSA-9752946,0.18231729561302956,0.057418435776745366
Glutathione metabolism,-0.10222847171059425,0.08127716390195666
Signaling By FGFR3 In Disease R-HSA-5655332,0.10552460600172281,-0.05523802550827015
Complement and coagulation cascades,-0.08904595547006446,0.13044060318106454
Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,-0.06172735501022937,0.08293715578379303
G2/M Checkpoints R-HSA-69481,-0.16547561424353535,0.07806122233867545
Long-term potentiation,0.1104984326541107,-0.07581887734958621
Downstream Signaling Of Activated FGFR1 R-HSA-5654687,0.10093529952747526,-0.04369485513178316
RORA Activates Gene Expression R-HSA-1368082,0.14257262414035426,-0.0905861310166105
Keratan Sulfate/Keratin Metabolism R-HSA-1638074,-0.10893543742773315,0.1024071014361408
Post-translational Protein Phosphorylation R-HSA-8957275,-0.06772709628275919,0.07591790584445476
PKA Activation In Glucagon Signaling R-HSA-164378,0.14521342467048642,-0.08211059685811425
Signaling By Activin R-HSA-1502540,0.11123894036032994,-0.06675520254746235
Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877,-0.04683004389655469,0.10637126032474056
Synthesis Of PIPs At Plasma Membrane R-HSA-1660499,0.11493375706587877,-0.06501375413785643
Orc1 Removal From Chromatin R-HSA-68949,-0.17788947937228028,0.08535899870444345
Olfactory transduction,0.17417597207676602,0.044615788418502
Cell Surface Interactions At Vascular Wall R-HSA-202733,-0.08031022546215844,0.09730173938417229
Activation Of ATR In Response To Replication Stress R-HSA-176187,-0.21564547654911015,0.09131311502965413
Small cell lung cancer,-0.10743326070637436,0.036622701121432434
TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541,-0.1365010899701695,0.08969717615224072
Negative Regulation Of FGFR2 Signaling R-HSA-5654727,0.12340671833985387,-0.03151401203147489
Molecules Associated With Elastic Fibres R-HSA-2129379,-0.11619531423617525,0.09056174628188857
Glycosphingolipid Metabolism R-HSA-1660662,-0.08407505603182358,0.0695175906572163
Nervous System Development R-HSA-9675108,0.053322072153785545,-0.040833454075920116
Scavenging By Class A Receptors R-HSA-3000480,-0.14572946558739786,0.10805328948521985
TNFs Bind Their Physiological Receptors R-HSA-5669034,-0.14237867167809848,0.09322957355443898
Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755,0.1238007473757977,-0.08365525584136496
Melanogenesis,0.07353753942009346,-0.046438042296129696
Diseases Of Programmed Cell Death R-HSA-9645723,-0.15446708158634842,0.05758537274164539
PKA Activation R-HSA-163615,0.1573473126726581,-0.0841597563180184
Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782,-0.12062379878551845,0.07479823529792515
Estrogen signaling pathway,0.08944036279703323,-0.021181441643228403
Synthesis Of DNA R-HSA-69239,-0.1736534831869829,0.07042951315451539
HDR Thru Homologous Recombination (HRR) R-HSA-5685942,-0.1850083404269961,0.054866727909672584
Epstein-Barr virus infection,-0.11143471164157075,0.07754391930753286
APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,-0.1660529534853108,0.0734356492851704
Regulation Of Beta-Cell Development R-HSA-186712,0.10521865987972852,-0.0360647976230079
N-Glycan biosynthesis,-0.14243731830648076,0.07303701938201673
HDACs Deacetylate Histones R-HSA-3214815,0.08380277572580021,-0.10167676384058887
Homologous recombination,-0.17822372124060573,0.0679053917453604
NRAGE Signals Death Thru JNK R-HSA-193648,0.09344208139342638,-0.06964158309043404
Axon Guidance R-HSA-422475,0.05323869204218384,-0.04096782570692318
Common Pathway Of Fibrin Clot Formation R-HSA-140875,-0.043172083473326545,0.1256079099217516
Zinc Transporters R-HSA-435354,-0.11725767658344215,0.06699902213690152
Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193,-0.1153537809221473,0.04266823957856521
Retrograde Transport At Trans-Golgi-Network R-HSA-6811440,0.07718146802447137,-0.07786686896491238
TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,-0.1372538416477069,0.06043769246715824
Negative Regulation Of FGFR3 Signaling R-HSA-5654732,0.10946638326822852,-0.041694027343882466
Cell-extracellular Matrix Interactions R-HSA-446353,-0.15007613230828495,0.09750360816297834
ECM Proteoglycans R-HSA-3000178,-0.1131527423601584,0.05227933660203608
O-linked Glycosylation Of Mucins R-HSA-913709,-0.05100573663421657,0.07511047508266303
Switching Of Origins To A Post-Replicative State R-HSA-69052,-0.16758726937726698,0.06701234335191929
Transcriptional Regulation By MECP2 R-HSA-8986944,0.0986826321023247,-0.06554932296043016
DNA Replication R-HSA-69306,-0.16837691391425785,0.07058153448217089
ER-Phagosome Pathway R-HSA-1236974,-0.13729887917910025,0.09517520021082528
TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008,-0.10545076003948806,0.03948822541030469
Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,-0.1700521797614251,0.07227981526460216
Translation Of Structural Proteins R-HSA-9683701,-0.11037799087342348,0.05941375685943191
Neurexins And Neuroligins R-HSA-6794361,0.13603770509881172,-0.10924520114659501
Lysine degradation,0.0516229783900879,-0.06766999053333825
Mismatch repair,-0.20400908657117353,0.07390826747033735
Protein-protein Interactions At Synapses R-HSA-6794362,0.12796681356358824,-0.10060063692339528
APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,-0.1674082643797481,0.07042173915844777
Post NMDA Receptor Activation Events R-HSA-438064,0.12186467714655694,-0.07715426726640628
Transcriptional Regulation By RUNX2 R-HSA-8878166,-0.09926508816716244,0.05833235365771311
Diseases Of Carbohydrate Metabolism R-HSA-5663084,-0.12463363396284717,0.05805037507926073
Insulin signaling pathway,0.05083793810929701,-0.036674598776580664
Endocrine and other factor-regulated calcium reabsorption,0.10423609782898266,-0.06065339627032606
FGFR1 Mutant Receptor Activation R-HSA-1839124,0.11263077628428365,-0.04303119575745321
FOXO-mediated Transcription Of Cell Death Genes R-HSA-9614657,0.08256103184220251,-0.0910411167153103
Signaling By Nuclear Receptors R-HSA-9006931,0.03584817307743198,-0.03290064145548827
Mitochondrial Biogenesis R-HSA-1592230,0.059985854424074794,-0.06676233648412153
Trafficking Of GluR2-containing AMPA Receptors R-HSA-416993,0.16183182588325715,-0.08657985034012947
Glycerolipid metabolism,0.06507240127469259,-0.03130028802111991
G1/S Transition R-HSA-69206,-0.16311247570917123,0.06433542806705494
FLT3 Signaling In Disease R-HSA-9682385,0.08570379766025059,-0.07325605247579019
Cell Cycle Checkpoints R-HSA-69620,-0.138671975023595,0.059828379452983735
Xenobiotics R-HSA-211981,0.13842644121510456,-0.014828767039502507
cAMP signaling pathway,0.0848321695335509,-0.044878003870635653
Regulation Of Insulin Secretion R-HSA-422356,0.10060961022405289,-0.06446694485935216
Signaling By WNT In Cancer R-HSA-4791275,0.08264610763142001,-0.04859739990056101
PI-3K cascade:FGFR1 R-HSA-5654689,0.13186161913129357,-0.028573609978866578
Notch-HLH Transcription Pathway R-HSA-350054,0.08484129548517853,-0.09465173589568251
Antigen processing-Cross Presentation R-HSA-1236975,-0.12797269277221604,0.09711459128917214
Cushing syndrome,0.04589989981981855,-0.046583422528012286
Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849,-0.06505116433444501,0.03299928972017805
GABAergic synapse,0.11869751033903228,-0.07433247469318979
Regulation Of Complement Cascade R-HSA-977606,-0.0944283179124965,0.10705507435534571
Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,-0.15963972196348974,0.06529424374969042
Metabolism Of Nucleotides R-HSA-15869,-0.08387998891123805,0.037613907231483265
Phospholipase D signaling pathway,0.06977919810531993,-0.03792854432990823
Meiotic Recombination R-HSA-912446,-0.17951290804387618,0.040437905015438806
Synaptic Adhesion-Like Molecules R-HSA-8849932,0.12336947729477489,-0.09896030786722534
Caspase Activation Via Death Receptors In Presence Of Ligand R-HSA-140534,-0.16030380356008225,0.09823429445358256
Non-integrin membrane-ECM Interactions R-HSA-3000171,-0.11353971426565655,0.06525777906324907
G1/S DNA Damage Checkpoints R-HSA-69615,-0.15511753986442428,0.06422496406241515
WNT5A-dependent Internalization Of FZD4 R-HSA-5099900,0.11095399221671168,-0.07774702869612915
Effects Of PIP2 Hydrolysis R-HSA-114508,0.11336430041475379,-0.09553409754793833
Phospholipid Metabolism R-HSA-1483257,0.052942606078927354,-0.04018237006469318
Gap junction,0.08063774359851247,-0.043348397713658615
Complement Cascade R-HSA-166658,-0.0797747786717736,0.09718304149100361
Chromatin Modifying Enzymes R-HSA-3247509,0.0670080080487763,-0.09141880467745428
Signaling By FLT3 Fusion Proteins R-HSA-9703465,0.10372327606300459,-0.08014178261077114
Prolactin Receptor Signaling R-HSA-1170546,0.13144402017620302,-0.02546491506502898
APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,-0.16298277054169427,0.06568674971301396
APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419,-0.16143690427563318,0.0652856386091694
Platelet Degranulation R-HSA-114608,-0.06630379413005265,0.08587898906823425
G1/S-Specific Transcription R-HSA-69205,-0.1841287362177078,0.07843633928756741
Nitric Oxide Stimulates Guanylate Cyclase R-HSA-392154,0.11930014194708649,-0.070944538775856
Role Of GTSE1 In G2/M Progression After G2 Checkpoint R-HSA-8852276,-0.16170956583574278,0.07948374868967491
Neuronal System R-HSA-112316,0.11244872109861004,-0.07801793910511846
FRS-mediated FGFR1 Signaling R-HSA-5654693,0.11783665869782443,-0.026614995869894967
Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430,-0.20889004405222283,0.10275329943033602
RAB GEFs Exchange GTP For GDP On RABs R-HSA-8876198,0.05796227223079557,-0.04443429495379856
Lysosome,-0.10002380065877726,0.07629574392851617
MET Activates PTK2 Signaling R-HSA-8874081,-0.1513626408290866,0.05931319094529743
Sensory Perception R-HSA-9709957,0.12303702016010222,0.04400432644001932
RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243,0.08201569544890379,-0.09814845858704284
CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017,-0.16149660556202086,0.06165204076264279
Regulation Of RUNX2 Expression And Activity R-HSA-8939902,-0.12400734746426262,0.061937853662310756
Developmental Biology R-HSA-1266738,0.049321165079569525,-0.009745264734144327
TRAF6 Mediated NF-kB Activation R-HSA-933542,-0.10135617476300322,0.06839863469952118
NOTCH3 Intracellular Domain Regulates Transcription R-HSA-9013508,0.09196397472919451,-0.06954771164097505
Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862,0.04998344010839869,-0.06369267947724114
DNA replication,-0.19741500280807636,0.07222435242988977
Regulation Of Signaling By CBL R-HSA-912631,0.15007765759464614,-0.06568935850079917
Mitotic G1 Phase And G1/S Transition R-HSA-453279,-0.1488779073384772,0.05467516187445171
Termination Of Translesion DNA Synthesis R-HSA-5656169,-0.14709043001533226,0.0403851266701267
Interleukin-1 Family Signaling R-HSA-446652,-0.0869153557566346,0.06375690862560478
Diseases Associated With Glycosylation Precursor Biosynthesis R-HSA-5609975,-0.18388308285013164,0.05219700318794662
p53-Dependent G1 DNA Damage Response R-HSA-69563,-0.1501709803714695,0.06104215215501159
"Sensory Perception Of Sweet, Bitter, And Umami (Glutamate) Taste R-HSA-9717207",0.11625269866892857,-0.03888284106748905
DNA Replication Pre-Initiation R-HSA-69002,-0.1616237597031517,0.06336192289224835
Primary immunodeficiency,-0.1375158009639403,0.08170181031633983
VxPx Cargo-Targeting To Cilium R-HSA-5620916,0.07000434510966265,-0.06728548413841849
SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577,-0.16748133036513335,0.06921116524737199
Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184,-0.15891553304618125,0.06288000909645393
Canonical Retinoid Cycle In Rods (Twilight Vision) R-HSA-2453902,-0.06923279287182221,0.0693267257684465
beta-Alanine metabolism,0.09639417744692404,-0.0615922041559701
Rheumatoid arthritis,-0.10518372399964472,0.09426899149258416
Neutrophil Degranulation R-HSA-6798695,-0.08609445896658205,0.08765729086545089
cGMP-PKG signaling pathway,0.06942848435178353,-0.035745099973006976
Nicotine addiction,0.157923713924172,-0.1013566119864675
Synthesis Of Bile Acids And Bile Salts Via 7Alpha-Hydroxycholesterol R-HSA-193368,0.11645252060813394,-0.05283791118626886
Aldosterone-regulated sodium reabsorption,0.10388215225142394,-0.05174617992514208
Carbohydrate digestion and absorption,0.08059967801978106,-0.03514426041745704
Assembly Of Pre-Replicative Complex R-HSA-68867,-0.1571331105464152,0.060057614562580686
Programmed Cell Death R-HSA-5357801,-0.07904233798732489,0.04528336474557547
Metabolism Of Vitamins And Cofactors R-HSA-196854,-0.050347704300134,0.033144076810343634
Synthesis Of Bile Acids And Bile Salts R-HSA-192105,0.10043172933244066,-0.05543126383935967
mRNA surveillance pathway,0.053642031685574756,-0.07366862395390084
Serotonergic synapse,0.09420751876176613,-0.03978350558434401
Signaling By FGFR3 R-HSA-5654741,0.06679193089618783,-0.03477063176553949
Ubiquitin Mediated Degradation Of Phosphorylated Cdc25A R-HSA-69601,-0.16494627131576264,0.07774445426143846
Cocaine addiction,0.07777456339197665,-0.05868939856960083
Apoptosis,-0.06874185953776035,0.04129103758592076
Adrenergic signaling in cardiomyocytes,0.07061457231470317,-0.050677698776583166
Circadian Clock R-HSA-400253,0.07666675321038721,-0.047415868465748044
Recycling Of Bile Acids And Salts R-HSA-159418,0.14563299150380069,-0.011852819718137701
Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279,-0.1898362219243826,0.07559656001959082
Allograft rejection,-0.14803892172383495,0.12455562190143553
Negative Regulation Of NOTCH4 Signaling R-HSA-9604323,-0.16294842493468203,0.07645093657353871
PI3K/AKT Signaling In Cancer R-HSA-2219528,0.06607852510740321,-0.024512233533425326
"Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741",-0.08830248636517761,0.05575809610526576
Morphine addiction,0.09636198500563031,-0.06272734068705915
Transmission Across Chemical Synapses R-HSA-112315,0.10843875256828973,-0.0721009413351006
Aldosterone synthesis and secretion,0.08720624096426713,-0.05854642123519249
Interleukin-1 Signaling R-HSA-9020702,-0.1008285106240705,0.06101884149763241
FBXL7 Down-Regulates AURKA During Mitotic Entry And In Early Mitosis R-HSA-8854050,-0.15488493558466415,0.07547783773512898
Mitotic Metaphase And Anaphase R-HSA-2555396,-0.12185955185862554,0.05166607080539275
Antimicrobial Peptides R-HSA-6803157,-0.009202117252691785,0.13765467916827678
Mitotic Anaphase R-HSA-68882,-0.12143012880254352,0.051229317880842645
Signaling By ERBB4 R-HSA-1236394,0.07851766662074851,-0.03813948641300676
"Unblocking Of NMDA Receptors, Glutamate Binding And Activation R-HSA-438066",0.14546312108980466,-0.10327239654453922
Glycosaminoglycan Metabolism R-HSA-1630316,-0.06576427984220193,0.051151853859165465
Other Interleukin Signaling R-HSA-449836,-0.08125705978427737,0.08490853205690037
Hedgehog On State R-HSA-5632684,-0.10368812826875738,0.04448673407745821
Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825,0.06833793972966933,-0.039807434133267844
MAPK6/MAPK4 Signaling R-HSA-5687128,-0.09762597046239319,0.061859395771039626
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,-0.056454901384026465,0.08009609837952508
Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,0.12786086454021858,-0.1232369181547878
Fatty acid biosynthesis,0.059528961889416414,-0.08620571020729345
Disorders Of Transmembrane Transporters R-HSA-5619115,-0.05583232339032583,0.05089695582594051
Eukaryotic Translation Elongation R-HSA-156842,0.14786828635115665,-0.13761121128502773
HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,-0.1533810901894452,0.041450999933200866
FoxO signaling pathway,0.06099074170310888,-0.034214230853189476
Phase 0 - Rapid Depolarisation R-HSA-5576892,0.1330401463726912,-0.08490886528078913
Malaria,-0.10531971302168493,0.1028635175180745
Chromosome Maintenance R-HSA-73886,-0.1577537366255479,0.04944155388828779
Glutamate Neurotransmitter Release Cycle R-HSA-210500,0.14844522358399262,-0.10691682900807822
Cholinergic synapse,0.08739737880182388,-0.04647816131799141
O-linked Glycosylation R-HSA-5173105,-0.05368582894717786,0.04605159865379181
Homologous DNA Pairing And Strand Exchange R-HSA-5693579,-0.17312834327114052,0.051337540280636085
Signaling By PDGFR In Disease R-HSA-9671555,0.11905838790359018,-0.06792171910606062
Initiation Of Nuclear Envelope (NE) Reformation R-HSA-2995383,-0.16047629108448708,0.059733480822448046
Autoimmune thyroid disease,-0.09521304535128845,0.12312885826510789
APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154,-0.15540127433497652,0.059857480894263064
DDX58/IFIH1-mediated Induction Of Interferon-Alpha/Beta R-HSA-168928,-0.05479536212438289,0.07485773524069674
IL-17 signaling pathway,-0.06803697689634942,0.06432727078660189
Ovarian steroidogenesis,0.10072061321815431,-0.0210916350250998
Regulation Of Cholesterol Biosynthesis By SREBP (SREBF) R-HSA-1655829,0.07265131328333424,-0.08913758733145047
Formation Of A Pool Of Free 40S Subunits R-HSA-72689,0.14358473063456817,-0.13226132577735727
Hematopoietic cell lineage,-0.09898405682981254,0.09746054298974577
Deregulated CDK5 Triggers Neurodegenerative Pathways In Alzheimers Disease Models R-HSA-8862803,-0.08931691759718358,0.03189424828510206
Metal Ion SLC Transporters R-HSA-425410,-0.08721134885937826,0.06636300855235734
